,gender,age,city,state,order_id,payment,order_date,delivery_date,price_per_unit,Sales_Quantity,total_price,product_type,product_name,size,colour,price,Products_Quantity,month,day
44,Male,79,Walterland,New South Wales,191,31002,2021-01-22,2021-02-15,106,1,106,Shirt,Chambray,XL,orange,105,57,January,Friday
45,Male,79,Walterland,New South Wales,191,31002,2021-01-22,2021-02-15,93,2,186,Trousers,Joggers,M,indigo,94,66,January,Friday
46,Male,79,Walterland,New South Wales,191,31002,2021-01-22,2021-02-15,92,2,184,Shirt,Denim,XS,indigo,115,79,January,Friday
47,Male,79,Walterland,New South Wales,191,31002,2021-01-22,2021-02-15,118,1,118,Shirt,Flannel,XL,red,96,72,January,Friday
48,Male,79,Walterland,New South Wales,191,31002,2021-01-22,2021-02-15,96,2,192,Shirt,Oxford Cloth,L,blue,114,59,January,Friday
49,Male,79,Walterland,New South Wales,191,31002,2021-01-22,2021-02-15,105,1,105,Shirt,Cuban Collar,M,red,93,53,January,Friday
50,Male,79,Walterland,New South Wales,354,33908,2021-02-26,2021-03-08,112,2,224,Jacket,Cardigan,XS,indigo,118,70,February,Friday
51,Male,79,Walterland,New South Wales,354,33908,2021-02-26,2021-03-08,109,1,109,Shirt,Mandarin Collar,XL,orange,108,59,February,Friday
52,Male,79,Walterland,New South Wales,354,33908,2021-02-26,2021-03-08,91,1,91,Shirt,Linen,M,orange,116,42,February,Friday
53,Male,79,Walterland,New South Wales,354,33908,2021-02-26,2021-03-08,98,3,294,Jacket,Leather,XS,indigo,113,78,February,Friday
54,Male,79,Walterland,New South Wales,354,33908,2021-02-26,2021-03-08,97,1,97,Trousers,Slim-Fit,S,violet,119,46,February,Friday
55,Male,79,Walterland,New South Wales,354,33908,2021-02-26,2021-03-08,119,2,238,Shirt,Casual Slim Fit,XL,blue,113,68,February,Friday
56,Male,79,Walterland,New South Wales,354,33908,2021-02-26,2021-03-08,119,3,357,Jacket,Trench Coat,L,yellow,112,77,February,Friday
57,Agender,41,West Bailey,Victoria,274,50173,2021-04-13,2021-04-27,96,1,96,Trousers,Drawstring,M,violet,104,73,April,Tuesday
58,Agender,41,West Bailey,Victoria,274,50173,2021-04-13,2021-04-27,102,2,204,Trousers,Cargo Pants,XS,blue,106,73,April,Tuesday
59,Agender,41,West Bailey,Victoria,274,50173,2021-04-13,2021-04-27,118,3,354,Shirt,Flannel,L,red,96,77,April,Tuesday
60,Agender,41,West Bailey,Victoria,274,50173,2021-04-13,2021-04-27,112,1,112,Trousers,Tracksuit Bottoms,XS,red,91,55,April,Tuesday
61,Agender,41,West Bailey,Victoria,274,50173,2021-04-13,2021-04-27,102,3,306,Jacket,Windbreaker,L,blue,109,41,April,Tuesday
62,Agender,41,West Bailey,Victoria,274,50173,2021-04-13,2021-04-27,100,1,100,Jacket,Bomber,S,blue,90,50,April,Tuesday
63,Genderqueer,55,East Audrey,South Australia,432,37821,2021-10-20,2021-11-03,98,3,294,Shirt,Camp Collared,S,green,112,60,October,Wednesday
64,Genderqueer,55,East Audrey,South Australia,432,37821,2021-10-20,2021-11-03,93,1,93,Jacket,Coach,M,blue,115,54,October,Wednesday
65,Genderqueer,55,East Audrey,South Australia,432,37821,2021-10-20,2021-11-03,109,2,218,Jacket,Peacoat,XL,violet,102,42,October,Wednesday
66,Genderqueer,55,East Audrey,South Australia,432,37821,2021-10-20,2021-11-03,96,1,96,Shirt,Oxford Cloth,S,orange,114,72,October,Wednesday
67,Genderqueer,55,East Audrey,South Australia,641,54363,2021-03-10,2021-03-22,112,1,112,Trousers,Tracksuit Bottoms,XL,blue,91,68,March,Wednesday
68,Genderqueer,55,East Audrey,South Australia,641,54363,2021-03-10,2021-03-22,96,1,96,Shirt,Oxford Cloth,XS,indigo,114,61,March,Wednesday
69,Genderqueer,55,East Audrey,South Australia,641,54363,2021-03-10,2021-03-22,91,2,182,Shirt,Linen,S,blue,116,77,March,Wednesday
70,Genderqueer,55,East Audrey,South Australia,641,54363,2021-03-10,2021-03-22,90,1,90,Trousers,Relaxed Leg,XL,blue,95,40,March,Wednesday
71,Genderqueer,55,East Audrey,South Australia,641,54363,2021-03-10,2021-03-22,113,3,339,Trousers,Chinos,XS,red,100,69,March,Wednesday
72,Non-binary,31,South Callum,Tasmania,377,24815,2021-05-19,2021-05-28,102,1,102,Trousers,Cargo Pants,XS,indigo,106,51,May,Wednesday
73,Non-binary,31,South Callum,Tasmania,377,24815,2021-05-19,2021-05-28,106,3,318,Trousers,Wool,S,indigo,111,45,May,Wednesday
74,Non-binary,31,South Callum,Tasmania,377,24815,2021-05-19,2021-05-28,98,2,196,Shirt,Camp Collared,M,blue,112,65,May,Wednesday
75,Non-binary,31,South Callum,Tasmania,377,24815,2021-05-19,2021-05-28,106,3,318,Shirt,Chambray,XS,indigo,105,75,May,Wednesday
76,Non-binary,31,South Callum,Tasmania,377,24815,2021-05-19,2021-05-28,97,1,97,Trousers,Slim-Fit,L,blue,119,49,May,Wednesday
77,Non-binary,31,South Callum,Tasmania,377,24815,2021-05-19,2021-05-28,113,2,226,Trousers,Chinos,S,yellow,100,40,May,Wednesday
78,Non-binary,31,South Callum,Tasmania,377,24815,2021-05-19,2021-05-28,112,1,112,Jacket,Cardigan,L,violet,118,66,May,Wednesday
79,Non-binary,31,South Callum,Tasmania,377,24815,2021-05-19,2021-05-28,92,1,92,Shirt,Denim,S,blue,115,47,May,Wednesday
80,Non-binary,31,South Callum,Tasmania,616,28727,2021-05-13,2021-05-14,112,2,224,Jacket,Cardigan,XS,blue,118,54,May,Thursday
81,Non-binary,31,South Callum,Tasmania,616,28727,2021-05-13,2021-05-14,106,2,212,Shirt,Chambray,XS,orange,105,76,May,Thursday
82,Non-binary,31,South Callum,Tasmania,616,28727,2021-05-13,2021-05-14,112,1,112,Trousers,Tracksuit Bottoms,M,indigo,91,59,May,Thursday
83,Non-binary,31,South Callum,Tasmania,616,28727,2021-05-13,2021-05-14,107,3,321,Jacket,Denim,M,red,92,43,May,Thursday
84,Non-binary,31,South Callum,Tasmania,664,11960,2021-01-07,2021-01-20,117,1,117,Jacket,Shearling,S,orange,95,53,January,Thursday
85,Non-binary,31,South Callum,Tasmania,664,11960,2021-01-07,2021-01-20,105,1,105,Shirt,Cuban Collar,M,violet,93,67,January,Thursday
86,Non-binary,20,Maxberg,Victoria,668,40483,2021-03-15,2021-03-30,91,3,273,Jacket,Pullover,L,green,114,72,March,Monday
87,Non-binary,20,Maxberg,Victoria,668,40483,2021-03-15,2021-03-30,119,2,238,Shirt,Casual Slim Fit,L,red,113,78,March,Monday
88,Non-binary,20,Maxberg,Victoria,668,40483,2021-03-15,2021-03-30,102,3,306,Trousers,Cargo Pants,XL,indigo,106,64,March,Monday
89,Non-binary,20,Maxberg,Victoria,668,40483,2021-03-15,2021-03-30,97,3,291,Trousers,Slim-Fit,XS,yellow,119,59,March,Monday
90,Non-binary,20,Maxberg,Victoria,668,40483,2021-03-15,2021-03-30,104,3,312,Shirt,Dress,L,yellow,119,56,March,Monday
91,Non-binary,20,Maxberg,Victoria,668,40483,2021-03-15,2021-03-30,118,1,118,Jacket,Puffer,S,indigo,110,62,March,Monday
92,Non-binary,20,Maxberg,Victoria,668,40483,2021-03-15,2021-03-30,93,1,93,Trousers,Joggers,XL,indigo,94,66,March,Monday
93,Non-binary,20,Maxberg,Victoria,668,40483,2021-03-15,2021-03-30,118,3,354,Jacket,Puffer,L,blue,110,48,March,Monday
94,Non-binary,20,Maxberg,Victoria,668,40483,2021-03-15,2021-03-30,94,1,94,Trousers,Cords,L,indigo,113,62,March,Monday
95,Non-binary,20,Maxberg,Victoria,668,40483,2021-03-15,2021-03-30,106,1,106,Shirt,Chambray,XL,red,105,42,March,Monday
96,Non-binary,20,Maxberg,Victoria,668,40483,2021-03-15,2021-03-30,118,3,354,Shirt,Flannel,M,orange,96,68,March,Monday
97,Female,32,North Mia,Tasmania,515,20627,2021-05-23,2021-06-13,100,1,100,Jacket,Bomber,S,green,90,54,May,Sunday
98,Female,32,North Mia,Tasmania,515,20627,2021-05-23,2021-06-13,106,3,318,Trousers,Wool,M,indigo,111,56,May,Sunday
99,Female,32,North Mia,Tasmania,515,20627,2021-05-23,2021-06-13,117,1,117,Jacket,Shearling,M,yellow,95,60,May,Sunday
100,Female,32,North Mia,Tasmania,515,20627,2021-05-23,2021-06-13,93,2,186,Trousers,Joggers,M,orange,94,52,May,Sunday
101,Female,32,North Mia,Tasmania,515,20627,2021-05-23,2021-06-13,109,1,109,Shirt,Mandarin Collar,S,violet,108,73,May,Sunday
102,Female,32,North Mia,Tasmania,515,20627,2021-05-23,2021-06-13,99,1,99,Trousers,High-Waisted,S,indigo,98,79,May,Sunday
103,Female,32,North Mia,Tasmania,515,20627,2021-05-23,2021-06-13,113,3,339,Trousers,Chinos,XS,blue,100,69,May,Sunday
104,Genderqueer,75,Olivershire,Victoria,609,21514,2021-04-22,2021-05-08,98,2,196,Jacket,Leather,S,yellow,113,41,April,Thursday
105,Genderqueer,75,Olivershire,Victoria,609,21514,2021-04-22,2021-05-08,98,3,294,Shirt,Camp Collared,S,blue,112,75,April,Thursday
106,Genderqueer,75,Olivershire,Victoria,609,21514,2021-04-22,2021-05-08,94,3,282,Trousers,Cords,XS,indigo,113,47,April,Thursday
107,Genderqueer,75,Olivershire,Victoria,609,21514,2021-04-22,2021-05-08,98,1,98,Shirt,Camp Collared,M,red,112,64,April,Thursday
108,Genderqueer,75,Olivershire,Victoria,609,21514,2021-04-22,2021-05-08,90,3,270,Trousers,Relaxed Leg,L,green,95,62,April,Thursday
109,Genderqueer,75,Olivershire,Victoria,609,21514,2021-04-22,2021-05-08,113,1,113,Trousers,Chinos,M,violet,100,54,April,Thursday
110,Genderqueer,50,New Oliverside,New South Wales,550,52719,2021-08-04,2021-08-09,104,3,312,Shirt,Dress,L,indigo,119,71,August,Wednesday
111,Genderqueer,50,New Oliverside,New South Wales,550,52719,2021-08-04,2021-08-09,119,2,238,Jacket,Trench Coat,M,orange,112,43,August,Wednesday
112,Genderqueer,50,New Oliverside,New South Wales,550,52719,2021-08-04,2021-08-09,119,1,119,Shirt,Casual Slim Fit,XL,yellow,113,78,August,Wednesday
113,Genderqueer,50,New Oliverside,New South Wales,550,52719,2021-08-04,2021-08-09,112,2,224,Jacket,Cardigan,L,indigo,118,40,August,Wednesday
114,Genderqueer,50,New Oliverside,New South Wales,550,52719,2021-08-04,2021-08-09,112,3,336,Trousers,Tracksuit Bottoms,L,orange,91,73,August,Wednesday
115,Genderqueer,50,New Oliverside,New South Wales,550,52719,2021-08-04,2021-08-09,118,1,118,Shirt,Flannel,M,indigo,96,69,August,Wednesday
116,Polygender,55,Lake Alanafort,Western Australia,748,49811,2021-05-16,2021-06-06,109,3,327,Jacket,Peacoat,L,orange,102,45,May,Sunday
117,Polygender,55,Lake Alanafort,Western Australia,748,49811,2021-05-16,2021-06-06,91,2,182,Shirt,Linen,M,indigo,116,72,May,Sunday
118,Polygender,55,Lake Alanafort,Western Australia,748,49811,2021-05-16,2021-06-06,119,2,238,Shirt,Casual Slim Fit,XS,blue,113,55,May,Sunday
119,Polygender,55,Lake Alanafort,Western Australia,748,49811,2021-05-16,2021-06-06,102,3,306,Trousers,Cargo Pants,L,yellow,106,71,May,Sunday
120,Polygender,55,Lake Alanafort,Western Australia,748,49811,2021-05-16,2021-06-06,106,2,212,Trousers,Wool,S,yellow,111,69,May,Sunday
121,Non-binary,79,West Noah,Queensland,208,39533,2021-10-10,2021-10-15,102,2,204,Jacket,Windbreaker,S,yellow,109,66,October,Sunday
122,Non-binary,79,West Noah,Queensland,208,39533,2021-10-10,2021-10-15,106,2,212,Shirt,Chambray,S,blue,105,61,October,Sunday
123,Non-binary,79,West Noah,Queensland,208,39533,2021-10-10,2021-10-15,94,1,94,Trousers,Cords,XS,blue,113,60,October,Sunday
124,Non-binary,79,West Noah,Queensland,208,39533,2021-10-10,2021-10-15,109,1,109,Jacket,Peacoat,XL,orange,102,69,October,Sunday
125,Non-binary,79,West Noah,Queensland,208,39533,2021-10-10,2021-10-15,106,1,106,Trousers,Wool,S,indigo,111,45,October,Sunday
126,Non-binary,79,West Noah,Queensland,208,39533,2021-10-10,2021-10-15,118,3,354,Jacket,Puffer,S,violet,110,46,October,Sunday
127,Non-binary,79,West Noah,Queensland,226,44799,2021-07-09,2021-07-23,119,2,238,Jacket,Trench Coat,S,yellow,112,59,July,Friday
128,Non-binary,79,West Noah,Queensland,226,44799,2021-07-09,2021-07-23,102,3,306,Trousers,Cargo Pants,L,orange,106,78,July,Friday
129,Non-binary,79,West Noah,Queensland,226,44799,2021-07-09,2021-07-23,98,1,98,Shirt,Camp Collared,S,violet,112,80,July,Friday
130,Non-binary,79,West Noah,Queensland,226,44799,2021-07-09,2021-07-23,97,1,97,Trousers,Slim-Fit,M,indigo,119,67,July,Friday
131,Non-binary,79,West Noah,Queensland,226,44799,2021-07-09,2021-07-23,113,3,339,Trousers,Chinos,XS,blue,100,69,July,Friday
132,Non-binary,79,West Noah,Queensland,226,44799,2021-07-09,2021-07-23,113,2,226,Jacket,Parka,L,green,119,55,July,Friday
133,Non-binary,79,West Noah,Queensland,226,44799,2021-07-09,2021-07-23,94,2,188,Trousers,Cords,XS,indigo,113,47,July,Friday
134,Non-binary,79,West Noah,Queensland,226,44799,2021-07-09,2021-07-23,102,2,204,Jacket,Windbreaker,M,blue,109,70,July,Friday
135,Non-binary,79,West Noah,Queensland,226,44799,2021-07-09,2021-07-23,102,1,102,Jacket,Windbreaker,M,indigo,109,56,July,Friday
136,Non-binary,55,Sauerfort,Western Australia,267,44791,2021-09-11,2021-09-12,95,1,95,Shirt,Polo,M,orange,117,67,September,Saturday
137,Non-binary,55,Sauerfort,Western Australia,267,44791,2021-09-11,2021-09-12,105,2,210,Shirt,Cuban Collar,L,green,93,58,September,Saturday
138,Non-binary,55,Sauerfort,Western Australia,267,44791,2021-09-11,2021-09-12,94,3,282,Shirt,Henley,M,blue,92,42,September,Saturday
139,Non-binary,55,Sauerfort,Western Australia,267,44791,2021-09-11,2021-09-12,93,3,279,Trousers,Joggers,XL,green,94,56,September,Saturday
140,Male,80,Port Lucas,Queensland,844,34733,2021-09-26,2021-10-18,105,2,210,Trousers,Pleated,M,violet,90,45,September,Sunday
141,Male,80,Port Lucas,Queensland,844,34733,2021-09-26,2021-10-18,92,3,276,Shirt,Denim,XL,indigo,115,58,September,Sunday
142,Male,80,Port Lucas,Queensland,844,34733,2021-09-26,2021-10-18,90,3,270,Trousers,Relaxed Leg,XL,orange,95,80,September,Sunday
143,Male,80,Port Lucas,Queensland,844,34733,2021-09-26,2021-10-18,92,1,92,Shirt,Denim,XL,violet,115,73,September,Sunday
144,Male,80,Port Lucas,Queensland,844,34733,2021-09-26,2021-10-18,100,3,300,Jacket,Bomber,S,indigo,90,41,September,Sunday
145,Male,80,Port Lucas,Queensland,948,18783,2021-08-24,2021-09-02,97,2,194,Trousers,Slim-Fit,M,indigo,119,67,August,Tuesday
146,Male,80,Port Lucas,Queensland,948,18783,2021-08-24,2021-09-02,112,1,112,Trousers,Tracksuit Bottoms,S,blue,91,48,August,Tuesday
147,Male,80,Port Lucas,Queensland,948,18783,2021-08-24,2021-09-02,92,1,92,Shirt,Denim,S,green,115,49,August,Tuesday
148,Male,80,Port Lucas,Queensland,948,18783,2021-08-24,2021-09-02,94,1,94,Trousers,Cords,S,blue,113,59,August,Tuesday
149,Polygender,59,Port Claudia,New South Wales,732,40317,2021-05-09,2021-05-29,93,3,279,Jacket,Coach,XS,blue,115,51,May,Sunday
150,Polygender,59,Port Claudia,New South Wales,732,40317,2021-05-09,2021-05-29,102,1,102,Trousers,Cargo Pants,M,blue,106,64,May,Sunday
151,Polygender,59,Port Claudia,New South Wales,732,40317,2021-05-09,2021-05-29,95,2,190,Shirt,Polo,L,violet,117,76,May,Sunday
152,Polygender,59,Port Claudia,New South Wales,753,39610,2021-02-20,2021-02-28,119,1,119,Shirt,Casual Slim Fit,XL,orange,113,53,February,Saturday
153,Polygender,59,Port Claudia,New South Wales,753,39610,2021-02-20,2021-02-28,109,1,109,Jacket,Peacoat,M,orange,102,47,February,Saturday
154,Polygender,59,Port Claudia,New South Wales,753,39610,2021-02-20,2021-02-28,106,3,318,Trousers,Wool,L,red,111,74,February,Saturday
155,Male,65,Port Ella,New South Wales,320,19693,2021-08-22,2021-09-12,96,1,96,Trousers,Drawstring,XS,violet,104,62,August,Sunday
156,Male,65,Port Ella,New South Wales,320,19693,2021-08-22,2021-09-12,112,3,336,Jacket,Cardigan,S,red,118,47,August,Sunday
157,Male,65,Port Ella,New South Wales,320,19693,2021-08-22,2021-09-12,102,3,306,Trousers,Cargo Pants,M,green,106,78,August,Sunday
158,Male,65,Port Ella,New South Wales,320,19693,2021-08-22,2021-09-12,112,3,336,Trousers,Tracksuit Bottoms,XS,yellow,91,76,August,Sunday
159,Male,65,Port Ella,New South Wales,320,19693,2021-08-22,2021-09-12,117,1,117,Jacket,Shearling,S,violet,95,49,August,Sunday
160,Male,65,Port Ella,New South Wales,320,19693,2021-08-22,2021-09-12,113,2,226,Trousers,Chinos,XL,red,100,71,August,Sunday
161,Genderqueer,37,Gabriellatown,Victoria,778,19228,2021-01-24,2021-02-07,100,2,200,Jacket,Bomber,XL,violet,90,53,January,Sunday
162,Genderqueer,37,Gabriellatown,Victoria,778,19228,2021-01-24,2021-02-07,98,3,294,Jacket,Leather,S,yellow,113,41,January,Sunday
163,Genderqueer,37,Gabriellatown,Victoria,778,19228,2021-01-24,2021-02-07,98,1,98,Jacket,Leather,S,red,113,80,January,Sunday
164,Genderqueer,37,Gabriellatown,Victoria,778,19228,2021-01-24,2021-02-07,102,2,204,Trousers,Cargo Pants,M,indigo,106,51,January,Sunday
165,Genderqueer,37,Gabriellatown,Victoria,778,19228,2021-01-24,2021-02-07,106,2,212,Shirt,Chambray,XS,blue,105,76,January,Sunday
166,Genderqueer,37,Gabriellatown,Victoria,778,19228,2021-01-24,2021-02-07,91,1,91,Jacket,Pullover,XS,yellow,114,65,January,Sunday
167,Bigender,60,Eliburgh,Tasmania,787,59055,2021-07-18,2021-07-31,97,1,97,Trousers,Slim-Fit,S,blue,119,49,July,Sunday
168,Bigender,60,Eliburgh,Tasmania,787,59055,2021-07-18,2021-07-31,104,2,208,Shirt,Dress,L,violet,119,74,July,Sunday
169,Bigender,60,Eliburgh,Tasmania,787,59055,2021-07-18,2021-07-31,102,2,204,Jacket,Windbreaker,L,green,109,62,July,Sunday
170,Bigender,60,Eliburgh,Tasmania,787,59055,2021-07-18,2021-07-31,93,3,279,Trousers,Joggers,M,indigo,94,66,July,Sunday
171,Bigender,60,Eliburgh,Tasmania,787,59055,2021-07-18,2021-07-31,119,1,119,Shirt,Casual Slim Fit,M,yellow,113,76,July,Sunday
172,Bigender,60,Eliburgh,Tasmania,787,59055,2021-07-18,2021-07-31,94,2,188,Shirt,Henley,S,orange,92,46,July,Sunday
173,Bigender,60,Eliburgh,Tasmania,787,59055,2021-07-18,2021-07-31,99,1,99,Trousers,High-Waisted,M,indigo,98,61,July,Sunday
174,Male,27,Leofurt,Australian Capital Territory,932,27978,2021-08-22,2021-08-23,94,3,282,Shirt,Henley,M,violet,92,44,August,Sunday
175,Male,27,Leofurt,Australian Capital Territory,932,27978,2021-08-22,2021-08-23,117,1,117,Jacket,Shearling,S,green,95,66,August,Sunday
176,Agender,68,Bartolettiside,Australian Capital Territory,355,33100,2021-04-14,2021-04-24,118,2,236,Shirt,Flannel,M,red,96,68,April,Wednesday
177,Agender,68,Bartolettiside,Australian Capital Territory,355,33100,2021-04-14,2021-04-24,92,2,184,Shirt,Denim,XL,indigo,115,58,April,Wednesday
178,Agender,68,Bartolettiside,Australian Capital Territory,355,33100,2021-04-14,2021-04-24,94,1,94,Shirt,Henley,XL,indigo,92,52,April,Wednesday
179,Agender,68,Bartolettiside,Australian Capital Territory,355,33100,2021-04-14,2021-04-24,98,2,196,Shirt,Camp Collared,XS,indigo,112,64,April,Wednesday
180,Polygender,54,Lake Nicholasfurt,Western Australia,410,14296,2021-08-04,2021-08-09,93,1,93,Jacket,Coach,XS,violet,115,58,August,Wednesday
181,Polygender,54,Lake Nicholasfurt,Western Australia,410,14296,2021-08-04,2021-08-09,90,1,90,Trousers,Relaxed Leg,XL,violet,95,42,August,Wednesday
182,Female,56,Port Alyssa,Queensland,534,31586,2021-09-23,2021-09-26,95,3,285,Shirt,Polo,S,violet,117,43,September,Thursday
183,Female,56,Port Alyssa,Queensland,553,16753,2021-03-06,2021-03-14,97,3,291,Trousers,Slim-Fit,S,red,119,71,March,Saturday
184,Female,56,Port Alyssa,Queensland,553,16753,2021-03-06,2021-03-14,93,1,93,Jacket,Coach,L,indigo,115,74,March,Saturday
185,Female,56,Port Alyssa,Queensland,553,16753,2021-03-06,2021-03-14,115,2,230,Trousers,Cropped,L,violet,99,40,March,Saturday
186,Female,56,Port Alyssa,Queensland,553,16753,2021-03-06,2021-03-14,97,1,97,Trousers,Slim-Fit,L,indigo,119,48,March,Saturday
